index,download link,publication index,dataset index,doi link,publication title,author,bytes,size,organisms,modality,zenodo id,file extension,method,cell_line,number of perturbations,perturbation_type,disease,cell type,tissue type,cancer,multiple_time_points,multiple_concentrations,combined_perturbations,date_of_submission,year,memory,context,context_key
Engreitz2022_Dox,,Engreitz2022,Dox,https://doi.org/10.1038/s41586-024-07022-x,Convergence of coronary artery disease genes onto endothelial cell programs,Jesse Engreitz,26336445400,25 GB,Homo sapiens,RNA,-1,tar,Perturb-seq,CRISPRi TeloHAEC,2285,CRISPRi,coronary artery disease,Endothelial,cell_line,n,n,n,n,01.11.2022,2022,100GB,Endothelial cells transduced with dCas9-KRAB-BFP and rtTA,CRISPRiTeloHAEC;endothelial
Marson2025_D2_Stim8hr,,Marson2025,D2_Stim8hr,https://doi.org/10.64898/2025.12.23.696273,Genome-scale perturb-seq in primary human CD4+ T cells maps context-specific regulators of T cell programs and human immune traits,Alexander Marson,1735835119962,1.6 TB,Homo sapiens ,RNA,-1,h5ad,Perturb-seq,,12748,CRISPRi,none,T cells,primary,n,y,n,n,22.02.2025,2025,400GB,Donor derive primary CD4+ T cell,;T cells
Marson2025_D3_Rest,,Marson2025,D3_Rest,https://doi.org/10.64898/2025.12.23.696273,Genome-scale perturb-seq in primary human CD4+ T cells maps context-specific regulators of T cell programs and human immune traits,Alexander Marson,1735835119962,1.6 TB,Homo sapiens ,RNA,-1,h5ad,Perturb-seq,,12748,CRISPRi,none,T cells,primary,n,y,n,n,22.02.2025,2025,400GB,Donor derive primary CD4+ T cell,;T cells
Marson2025_D4_Rest,,Marson2025,D4_Rest,https://doi.org/10.64898/2025.12.23.696273,Genome-scale perturb-seq in primary human CD4+ T cells maps context-specific regulators of T cell programs and human immune traits,Alexander Marson,1735835119962,1.6 TB,Homo sapiens ,RNA,-1,h5ad,Perturb-seq,,12748,CRISPRi,none,T cells,primary,n,y,n,n,22.02.2025,2025,400GB,Donor derive primary CD4+ T cell,;T cells
Marson2025_D4_Stim48hr,,Marson2025,D4_Stim48hr,https://doi.org/10.64898/2025.12.23.696273,Genome-scale perturb-seq in primary human CD4+ T cells maps context-specific regulators of T cell programs and human immune traits,Alexander Marson,1735835119962,1.6 TB,Homo sapiens ,RNA,-1,h5ad,Perturb-seq,,12748,CRISPRi,none,T cells,primary,n,y,n,n,22.02.2025,2025,400GB,Donor derive primary CD4+ T cell,;T cells
Marson2025_D3_Stim48hr,,Marson2025,D3_Stim48hr,https://doi.org/10.64898/2025.12.23.696273,Genome-scale perturb-seq in primary human CD4+ T cells maps context-specific regulators of T cell programs and human immune traits,Alexander Marson,1735835119962,1.6 TB,Homo sapiens ,RNA,-1,h5ad,Perturb-seq,,12748,CRISPRi,none,T cells,primary,n,y,n,n,22.02.2025,2025,400GB,Donor derive primary CD4+ T cell,;T cells
Marson2025_D2_Rest,,Marson2025,D2_Rest,https://doi.org/10.64898/2025.12.23.696273,Genome-scale perturb-seq in primary human CD4+ T cells maps context-specific regulators of T cell programs and human immune traits,Alexander Marson,1735835119962,1.6 TB,Homo sapiens ,RNA,-1,h5ad,Perturb-seq,,12748,CRISPRi,none,T cells,primary,n,y,n,n,22.02.2025,2025,400GB,Donor derive primary CD4+ T cell,;T cells
Marson2025_D3_Stim8hr,,Marson2025,D3_Stim8hr,https://doi.org/10.64898/2025.12.23.696273,Genome-scale perturb-seq in primary human CD4+ T cells maps context-specific regulators of T cell programs and human immune traits,Alexander Marson,1735835119962,1.6 TB,Homo sapiens ,RNA,-1,h5ad,Perturb-seq,,12748,CRISPRi,none,T cells,primary,n,y,n,n,22.02.2025,2025,400GB,Donor derive primary CD4+ T cell,;T cells
Marson2025_D4_Stim8hr,,Marson2025,D4_Stim8hr,https://doi.org/10.64898/2025.12.23.696273,Genome-scale perturb-seq in primary human CD4+ T cells maps context-specific regulators of T cell programs and human immune traits,Alexander Marson,1735835119962,1.6 TB,Homo sapiens ,RNA,-1,h5ad,Perturb-seq,,12748,CRISPRi,none,T cells,primary,n,y,n,n,22.02.2025,2025,400GB,Donor derive primary CD4+ T cell,;T cells
Marson2025_D1_Stim8hr,,Marson2025,D1_Stim8hr,https://doi.org/10.64898/2025.12.23.696273,Genome-scale perturb-seq in primary human CD4+ T cells maps context-specific regulators of T cell programs and human immune traits,Alexander Marson,1735835119962,1.6 TB,Homo sapiens ,RNA,-1,h5ad,Perturb-seq,,12748,CRISPRi,none,T cells,primary,n,y,n,n,22.02.2025,2025,400GB,Donor derive primary CD4+ T cell,;T cells
Marson2025_D1_Stim48hr,,Marson2025,D1_Stim48hr,https://doi.org/10.64898/2025.12.23.696273,Genome-scale perturb-seq in primary human CD4+ T cells maps context-specific regulators of T cell programs and human immune traits,Alexander Marson,1735835119962,1.6 TB,Homo sapiens ,RNA,-1,h5ad,Perturb-seq,,12748,CRISPRi,none,T cells,primary,n,y,n,n,22.02.2025,2025,400GB,Donor derive primary CD4+ T cell,;T cells
Marson2025_D1_Rest,,Marson2025,D1_Rest,https://doi.org/10.64898/2025.12.23.696273,Genome-scale perturb-seq in primary human CD4+ T cells maps context-specific regulators of T cell programs and human immune traits,Alexander Marson,1735835119962,1.6 TB,Homo sapiens ,RNA,-1,h5ad,Perturb-seq,,12748,CRISPRi,none,T cells,primary,n,y,n,n,22.02.2025,2025,400GB,Donor derive primary CD4+ T cell,;T cells
Marson2025_D2_Stim48hr,,Marson2025,D2_Stim48hr,https://doi.org/10.64898/2025.12.23.696273,Genome-scale perturb-seq in primary human CD4+ T cells maps context-specific regulators of T cell programs and human immune traits,Alexander Marson,1735835119962,1.6 TB,Homo sapiens ,RNA,-1,h5ad,Perturb-seq,,12748,CRISPRi,none,T cells,primary,n,y,n,n,22.02.2025,2025,400GB,Donor derive primary CD4+ T cell,;T cells
