download link,publication index,dataset index,doi link,publication title,author,bytes,size,organisms,modality,zenodo id,file extension,method,tissues,number of perturbations,perturbation,disease,cell type,tissue type,cancer,multiple_time_points,multiple_concentrations,combined_perturbations,date_of_submission,year
https://zenodo.org/record/7041849/files/GasperiniShendure2019_atscale.h5ad,GasperiniShendure2019,atscale,https://doi.org/10.1016/j.cell.2018.11.029,A Genome-wide Framework for Mapping Gene Regulation via Cellular Genetic Screens,Molly Gasperini,1866293566,1.74 GB,Homo sapiens,RNA,7041849,h5ad,CROP-seq,K562,43314 (includes combinations),CRISPRi,chronic myelogenous leukemia,lymphoblasts,cell_line,y,n,n,y,01.06.2018,2018
https://zenodo.org/record/7041849/files/GasperiniShendure2019_highMOI.h5ad,GasperiniShendure2019,highMOI,https://doi.org/10.1016/j.cell.2018.11.029,A Genome-wide Framework for Mapping Gene Regulation via Cellular Genetic Screens,Molly Gasperini,418337592,398.96 MB,Homo sapiens,RNA,7041849,h5ad,CROP-seq,K562,39087 (includes combinations),CRISPRi,chronic myelogenous leukemia,lymphoblasts,cell_line,y,n,n,y,01.06.2018,2018
https://zenodo.org/record/7041849/files/GasperiniShendure2019_lowMOI.h5ad,GasperiniShendure2019,lowMOI,https://doi.org/10.1016/j.cell.2018.11.029,A Genome-wide Framework for Mapping Gene Regulation via Cellular Genetic Screens,Molly Gasperini,322716827,307.77 MB,Homo sapiens,RNA,7041849,h5ad,CROP-seq,K562,16531 (includes combinations),CRISPRi,chronic myelogenous leukemia,lymphoblasts,cell_line,y,n,n,y,01.06.2018,2018
https://zenodo.org/record/7041849/files/GehringPachter2019.h5ad,GehringPachter2019,,https://doi.org/10.1038/s41587-019-0372-z,Highly multiplexed single-cell RNA-seq by DNA oligonucleotide tagging of cellular proteins,Jase Gehring,73272796,69.88 MB,Mus musculus,RNA,7041849,h5ad,"96-plex scRNA-seq
oligo barcodes",mouse neural stem cells (human only for species mixing experiment),4,drugs,healthy,neural stem cells,primary,n,n,y,y,01.01.2020,2020
https://zenodo.org/record/7058382/files/Liscovitch-BrauerSanjana2021_K562_1.zip,Liscovitch-BrauerSanjana2021,K562_1,https://doi.org/10.1038/s41587-021-00902-x,Profiling the genetic determinants of chromatin accessibility with scalable single-cell CRISPR screens,"Liscovitch-Brauer, N.",202476643,193.1 MB,Homo sapiens,ATAC,7058382,zip,CRISPR–sciATAC,Myeloid Leukemia,22,CRISPR-cas9,chronic myelogenous leukemia,lymphoblasts,cell_line,y,n,n,n,01.04.2021,2021
https://zenodo.org/record/7058382/files/Liscovitch-BrauerSanjana2021_K562_2.zip,Liscovitch-BrauerSanjana2021,K562_2,https://doi.org/10.1038/s41587-021-00902-x,Profiling the genetic determinants of chromatin accessibility with scalable single-cell CRISPR screens,"Liscovitch-Brauer, N.",347307705,331.22 MB,Homo sapiens,ATAC,7058382,zip,CRISPR–sciATAC,Myeloid Leukemia,84,CRISPR-cas9,chronic myelogenous leukemia,lymphoblasts,cell_line,y,n,n,n,01.04.2021,2021
https://zenodo.org/record/7041849/files/McFarlandTsherniak2020.h5ad,McFarlandTsherniak2020,,https://doi.org/10.1038/s41467-020-17440-w,Multiplexed single-cell transcriptional response profiling to define cancer vulnerabilities and therapeutic mechanism of action,James McFarland,1459410830,1.36 GB,Homo sapiens,RNA,7041849,h5ad,MIX-seq (pooled scRNA-seq),200 different cell lines,18,"drugs, CRISPR-cas9",,,cell_line,y,partially,n,n,01.12.2019,2019
https://zenodo.org/record/7058382/files/MimitouSmibert2021.zip,MimitouSmibert2021,,https://doi.org/10.1038/s41587-021-00927-2,"Scalable, multimodal profiling of chromatin accessibility, gene expression and protein levels in single cells",Eleni P. Mimitou,834374137,795.72 MB,Homo sapiens,ATAC + protein,7058382,zip,ASAP-seq,Purified CD4 T cells,6,CRISPR-cas9,healthy,T cells,primary,n,n,n,n,01.05.2019,2019
https://zenodo.org/record/7041849/files/NormanWeissman2019_filtered.h5ad,NormanWeissman2019,filtered,https://doi.org/10.1126/science.aax4438,Exploring genetic interaction manifolds constructed from rich single-cell phenotypes,Thomas Norman,698680199,666.31 MB,Homo sapiens,RNA,7041849,h5ad,Perturb-seq,K562,237,CRISPRa,chronic myelogenous leukemia,lymphoblasts,cell_line,y,n,n,y,01.03.2019,2019
https://zenodo.org/record/7041849/files/PapalexiSatija2021_eccite_arrayed_protein.h5ad,PapalexiSatija2021,eccite_arrayed_protein,https://doi.org/10.1038/s41588-021-00778-2,Characterizing the molecular regulation of inhibitory immune checkpoints with multimodal single-cell screens,"Papalexi, E.",550922,538.01 KB,Homo sapiens THP-1,RNA + protein (protein),7041849,h5ad,ECCITE-seq,THP-1 (monocytic leukemia ),11,CRISPR-cas9,acute monocytic leukemia,monocytes,cell_line,y,n,n,n,01.03.2021,2021
https://zenodo.org/record/7041849/files/PapalexiSatija2021_eccite_arrayed_RNA.h5ad,PapalexiSatija2021,eccite_arrayed_RNA,https://doi.org/10.1038/s41588-021-00778-2,Characterizing the molecular regulation of inhibitory immune checkpoints with multimodal single-cell screens,"Papalexi, E.",52339395,49.91 MB,Homo sapiens THP-1,RNA + protein (RNA),7041849,h5ad,ECCITE-seq,THP-1 (monocytic leukemia ),11,CRISPR-cas9,acute monocytic leukemia,monocytes,cell_line,y,n,n,n,01.03.2021,2021
https://zenodo.org/record/7041849/files/PapalexiSatija2021_eccite_protein.h5ad,PapalexiSatija2021,eccite_protein,https://doi.org/10.1038/s41588-021-00778-2,Characterizing the molecular regulation of inhibitory immune checkpoints with multimodal single-cell screens,"Papalexi, E.",1191551,1.14 MB,Homo sapiens THP-1,RNA + protein (protein),7041849,h5ad,ECCITE-seq,THP-1 (monocytic leukemia ),99,CRISPR-cas9,acute monocytic leukemia,monocytes,cell_line,y,n,n,n,01.03.2021,2021
https://zenodo.org/record/7041849/files/PapalexiSatija2021_eccite_RNA.h5ad,PapalexiSatija2021,eccite_RNA,https://doi.org/10.1038/s41588-021-00778-2,Characterizing the molecular regulation of inhibitory immune checkpoints with multimodal single-cell screens,"Papalexi, E.",147215278,140.4 MB,Homo sapiens THP-1,RNA + protein (RNA),7041849,h5ad,ECCITE-seq,THP-1 (monocytic leukemia ),99,CRISPR-cas9,acute monocytic leukemia,monocytes,cell_line,y,n,n,n,01.03.2021,2021
https://zenodo.org/record/7058382/files/PierceGreenleaf2021_K562.zip,PierceGreenleaf2021,K562,https://doi.org/10.1038/s41467-021-23213-w,High-throughput single-cell chromatin accessibility CRISPR screens enable unbiased identification of regulatory networks in cancer,Sarah Pierce,2778105709,2.59 GB,Homo sapiens,ATAC,7058382,zip,Spear-ATAC,K562 (leukemia),41,CRISPRi,chronic myelogenous leukemia,lymphoblasts,cell_line,y,n,n,n,01.11.2020,2020
https://zenodo.org/record/7058382/files/PierceGreenleaf2021_MCF7.zip,PierceGreenleaf2021,MCF7,https://doi.org/10.1038/s41467-021-23213-w,High-throughput single-cell chromatin accessibility CRISPR screens enable unbiased identification of regulatory networks in cancer,Sarah Pierce,1633612885,1.52 GB,Homo sapiens,ATAC,7058382,zip,Spear-ATAC,MCF7 (breast cancer),41,CRISPRi,breast adenocarcinoma,mammary epithelial cells,cell_line,y,n,n,n,01.11.2020,2020
https://zenodo.org/record/7058382/files/PierceGreenleaf2021_GM12878.zip,PierceGreenleaf2021,GM12878,https://doi.org/10.1038/s41467-021-23213-w,High-throughput single-cell chromatin accessibility CRISPR screens enable unbiased identification of regulatory networks in cancer,Sarah Pierce,1139538928,1.06 GB,Homo sapiens,ATAC,7058382,zip,Spear-ATAC,GM12878 (lymphoblastoid cells),41,CRISPRi,chronic myelogenous leukemia,lymphoblasts,cell_line,y,n,n,n,01.11.2020,2020
https://zenodo.org/record/7041849/files/ReplogleWeissman2022_K562_essential.h5ad,ReplogleWeissman2022,K562_essential,https://doi.org/10.1016/j.cell.2022.05.013,Mapping information-rich genotype-phenotype landscapes with genome-scale Perturb-seq,Joseph Replogle,1546729675,1.44 GB,Homo sapiens,RNA,7041849,h5ad,Perturb-seq,,2058,CRISPRi,chronic myeloid leukemia,lymphoblasts,cell_line,y,n,n,n,01.10.2022,2022
https://zenodo.org/record/7041849/files/ReplogleWeissman2022_K562_gwps.h5ad,ReplogleWeissman2022,K562_gwps,https://doi.org/10.1016/j.cell.2022.05.013,Mapping information-rich genotype-phenotype landscapes with genome-scale Perturb-seq,Joseph Replogle,8805466154,8.2 GB,Homo sapiens,RNA,7041849,h5ad,Perturb-seq,,9867,CRISPRi,chronic myeloid leukemia,lymphoblasts,cell_line,y,n,n,n,01.10.2022,2022
https://zenodo.org/record/7041849/files/ReplogleWeissman2022_rpe1.h5ad,ReplogleWeissman2022,rpe1,https://doi.org/10.1016/j.cell.2022.05.013,Mapping information-rich genotype-phenotype landscapes with genome-scale Perturb-seq,Joseph Replogle,1236886900,1.15 GB,Homo sapiens,RNA,7041849,h5ad,Perturb-seq,,2394,CRISPRi,chronic myeloid leukemia,epithelial,cell_line,n,n,n,n,01.10.2022,2022
https://zenodo.org/record/7041849/files/SchiebingerLander2019_GSE106340.h5ad,SchiebingerLander2019,GSE106340,https://doi.org/10.1016/j.cell.2019.01.006,Optimal-Transport Analysis of Single-Cell Gene Expression Identifies Developmental Trajectories in Reprogramming,Geoffrey Schiebinger,378858726,361.31 MB,Mus musculus,RNA,7041849,h5ad,plain scRNA-seq,iPSCs,2,cytokines,healthy,mESCs,stem,n,y,n,n,01.02.2019,2019
https://zenodo.org/record/7041849/files/SchiebingerLander2019_GSE115943.h5ad,SchiebingerLander2019,GSE115943,https://doi.org/10.1016/j.cell.2019.01.006,Optimal-Transport Analysis of Single-Cell Gene Expression Identifies Developmental Trajectories in Reprogramming,Geoffrey Schiebinger,1640956517,1.53 GB,Mus musculus,RNA,7041849,h5ad,plain scRNA-seq,iPSCs,3,cytokines,healthy,mESCs,stem,n,y,n,n,01.02.2019,2019
https://zenodo.org/record/7041849/files/SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_11_screen.h5ad,SchraivogelSteinmetz2020,TAP_SCREEN__chromosome_11_screen,https://doi.org/10.1038/s41592-020-0837-5,Targeted Perturb-seq enables genome-scale genetic screens in single cells,Daniel Schraivogel,21815981,20.81 MB,Homo sapiens; Mus musculus,RNA,7041849,h5ad,TAP-seq,K562,3105,CRISPRi,chronic myelogenous leukemia,lymphoblasts,cell_line,y,n,n,y,01.08.2019,2019
https://zenodo.org/record/7041849/files/SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_8_screen.h5ad,SchraivogelSteinmetz2020,TAP_SCREEN__chromosome_8_screen,https://doi.org/10.1038/s41592-020-0837-5,Targeted Perturb-seq enables genome-scale genetic screens in single cells,Daniel Schraivogel,21015792,20.04 MB,Homo sapiens; Mus musculus,RNA,7041849,h5ad,TAP-seq,K562,4115,CRISPRi,chronic myelogenous leukemia,lymphoblasts,cell_line,y,n,n,y,01.08.2019,2019
https://zenodo.org/record/7041849/files/ShifrutMarson2018.h5ad,ShifrutMarson2018,,https://doi.org/10.1016/j.cell.2018.10.024,Genome-wide CRISPR Screens in Primary Human T Cells Reveal Key Regulators of Immune Function,Eric Shifrut,253843410,242.08 MB,Homo sapiens,RNA,7041849,h5ad,CROP-seq,Primary Human T Cells,49,"CRISPR-cas9, TCR stim",healthy,T cells,primary,n,n,n,y,01.09.2018,2018
https://zenodo.org/record/7041849/files/SrivatsanTrapnell2020_sciplex2.h5ad,SrivatsanTrapnell2020,sciplex2,https://doi.org/10.1126/science.aax6234,Massively multiplex chemical transcriptomics at single-cell resolution,Sanjay Srivatsan,145178504,138.45 MB,Homo sapiens; Mus musculus,RNA,7041849,h5ad,sci-Plex (nuclear hashing),A549,5,drugs,lung adenocarcinoma,alveolar basal epithelial cells,cell_line,y,n,y,n,01.01.2020,2020
https://zenodo.org/record/7041849/files/SrivatsanTrapnell2020_sciplex3.h5ad,SrivatsanTrapnell2020,sciplex3,https://doi.org/10.1126/science.aax6234,Massively multiplex chemical transcriptomics at single-cell resolution,Sanjay Srivatsan,2456030368,2.29 GB,Homo sapiens; Mus musculus,RNA,7041849,h5ad,sci-Plex (nuclear hashing),"A549 (lung adenocarcinoma), K562 (chronic myelogenous leukemia), and MCF7 (mammary adenocarcinoma)",189,drugs,multiple,multiple,cell_line,y,n,y,n,01.01.2020,2020
https://zenodo.org/record/7041849/files/SrivatsanTrapnell2020_sciplex4.h5ad,SrivatsanTrapnell2020,sciplex4,https://doi.org/10.1126/science.aax6234,Massively multiplex chemical transcriptomics at single-cell resolution,Sanjay Srivatsan,253335945,241.6 MB,Homo sapiens; Mus musculus,RNA,7041849,h5ad,sci-Plex (nuclear hashing),A549 (lung adenocarcinoma) and MCF7 (mammary adenocarcinoma),8,drugs,lung adenocarcinoma,alveolar basal epithelial cells,cell_line,y,n,y,n,01.01.2020,2020
https://zenodo.org/record/7041849/files/TianKampmann2019_day7neuron.h5ad,TianKampmann2019,day7neuron,https://doi.org/10.1016/j.neuron.2019.07.014,CRISPR Interference-Based Platform for Multimodal Genetic Screens in Human iPSC-Derived Neurons,Ruilin Tian,268921535,256.46 MB,Homo sapiens,RNA,7041849,h5ad,CROP-seq,iPSC derived neurons,27,CRISPRi,healthy,iPSC-induced neuron,primary,n,y,n,y,01.10.2019,2019
https://zenodo.org/record/7041849/files/TianKampmann2019_iPSC.h5ad,TianKampmann2019,iPSC,https://doi.org/10.1016/j.neuron.2019.07.014,CRISPR Interference-Based Platform for Multimodal Genetic Screens in Human iPSC-Derived Neurons,Ruilin Tian,350848489,334.6 MB,Homo sapiens,RNA,7041849,h5ad,CROP-seq,iPSC derived neurons,27,CRISPRi,healthy,iPSC,stem,n,y,n,y,01.10.2019,2019
https://zenodo.org/record/7041849/files/TianKampmann2021_CRISPRa.h5ad,TianKampmann2021,CRISPRa,https://doi.org/10.1038/s41593-021-00862-0,Genome-wide CRISPRi/a screens in human neurons link lysosomal failure to ferroptosis,Ruilin Tian,154788473,147.62 MB,Homo sapiens,RNA,7041849,h5ad,CROP-seq,human iPSC-derived neurons,101,CRISPRa,healthy,iPSC-induced neuron,primary,n,n,n,n,01.07.2020,2020
https://zenodo.org/record/7041849/files/TianKampmann2021_CRISPRi.h5ad,TianKampmann2021,CRISPRi,https://doi.org/10.1038/s41593-021-00862-0,Genome-wide CRISPRi/a screens in human neurons link lysosomal failure to ferroptosis,Ruilin Tian,289389479,275.98 MB,Homo sapiens,RNA,7041849,h5ad,CROP-seq,human iPSC-derived neurons,185,CRISPRi,healthy,iPSC-induced neuron,primary,n,n,n,n,01.07.2020,2020
https://zenodo.org/record/7041849/files/WeinrebKlein2020.h5ad,WeinrebKlein2020,,https://doi.org/10.1126/science.aaw3381,Lineage tracing on transcriptional landscapes links state to fate during differentiation,Caleb Weinreb,228524613,217.94 MB,Mus musculus,RNA,7041849,h5ad,clonal tagging (LARRY),hematopoiesis / mouse bone marrow,5,cytokines,healthy,mixed hematopoeitic,stem,n,y,n,n,01.11.2020,2020
https://zenodo.org/record/7041849/files/XieHon2017.h5ad,XieHon2017,,https://doi.org/10.1016/j.molcel.2017.03.007,Multiplexed engineering and analysis of endogenous enhancer activity in single cells,Shiqi Xie,117356359,111.92 MB,Homo sapiens; Mus musculus,RNA,7041849,h5ad,Mosaic-seq,K562,241,CRISPR-cas9,chronic myeloid leukemia,lymphoblasts,cell_line,n,n,n,partially (CRISPR),01.03.2016,2016
https://zenodo.org/record/7041849/files/ZhaoSims2021.h5ad,ZhaoSims2021,,https://doi.org/10.1186/s13073-021-00894-y,Deconvolution of Cell Type-Specific Drug Responses in Human Tumor Tissue with Single-Cell RNA-seq,Wenting Zhao,586888140,559.7 MB,Homo sapiens,RNA,7041849,h5ad,scRNA-seq,"glioblastoma, patient tissue",7,drugs,glioblastoma,mixed,primary,y,n,n,n,01.04.2020,2020
,Mali2024,CRISPRi,https://doi.org/10.1101/2024.11.03.621734,A Perturbation Cell Atlas of Human Induced Pluripotent Stem Cells,Prashant Mali,8805466154,8.2 GB,Homo sapiens,RNA,-1,h5ad,Perturb-seq,iPSC derived neurons,11739,CRISPRi,healthy,iPSC,primary,n,n,n,n,04.11.2024,2024,250GB
https://ftp.ncbi.nlm.nih.gov/geo/series/GSE264nnn/GSE264667/suppl/GSE264667%5Fhepg2%5Fraw%5Fsinglecell%5F01.h5ad,ReplogleWeissman2025,HepG2,https://doi.org/10.1038/s41588-025-02169-3,Transcriptome-wide analysis of differential expression in perturbation atlases,Joseph Replogle,1343665392,1.3 GB,Homo sapiens,RNA,-1,h5ad,Perturb-seq,HepG2,2394,CRISPRi,hepatocellular carcinoma,hepatocyte,cell_line,y,n,n,y,23.04.2024,2025,100GB
https://ftp.ncbi.nlm.nih.gov/geo/series/GSE264nnn/GSE264667/suppl/GSE264667%5Fjurkat%5Fraw%5Fsinglecell%5F01.h5ad,ReplogleWeissman2025,Jurkat,https://doi.org/10.1038/s41588-025-02169-3,Transcriptome-wide analysis of differential expression in perturbation atlases,Joseph Replogle,2036199106,1.9 GB,Homo sapiens,RNA,-1,h5ad,Perturb-seq,Jurkat,2394,CRISPRi,acute T cell leukemia,T cells,cell_line,y,n,n,y,23.04.2024,2025,150GB
