cell_type_name,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99,dim_100,dim_101,dim_102,dim_103,dim_104,dim_105,dim_106,dim_107,dim_108,dim_109,dim_110,dim_111,dim_112,dim_113,dim_114,dim_115,dim_116,dim_117,dim_118,dim_119,dim_120,dim_121,dim_122,dim_123,dim_124,dim_125,dim_126,dim_127
capillary endothelial cell,1.3236539,2.5037727,1.9750199,0.09871256,1.7818178,2.3242066,1.9049065,0.14207654,1.3210708,2.0876482,3.4117138,0.11617341,2.364689,3.4303877,0.1220784,0.034714203,2.708375,0.64489335,2.095621,2.3605938,1.7773914,0.13574049,0.06714327,0.36422023,2.2379906,0.87801266,3.2810853,1.5772959,2.2320466,1.0977517,3.0697803,3.0533972,0.7645973,0.35555872,0.02681026,0.008325797,2.7893078,0.41220573,0.035451055,0.1106545,0.2559543,2.9737713,1.8800656,0.053498458,0.030995645,1.1703864,0.5419264,2.1151884,0.030148815,2.2237952,0.4136383,0.7125282,1.0211298,0.038742002,0.7943068,0.7003793,0.0401216,2.8274214,0.046195835,0.91071904,1.0910151,0.54938847,0.113037825,1.8193167,0.20603724,0.10057115,1.524872,0.5292452,0.23999427,1.5223246,0.58260924,0.75258857,1.1393739,0.4326928,0.3301478,2.0622082,1.0560642,1.9877499,1.78181,0.23240997,1.7253696,0.07786326,0.621263,1.1554043,1.8061813,3.9935796,1.6593384,0.04640305,0.13328615,1.9148377,0.05178671,0.49153462,0.026893565,0.3933346,1.0141618,1.9310004,0.24579006,1.1227546,0.08507949,1.42441,0.33385456,0.84363145,0.015841844,0.3853596,1.5146453,2.7372677,1.3322495,0.057203412,0.41694543,0.12659675,0.030957507,2.2539594,0.3125094,0.12795107,0.7157638,0.10667446,0.15524669,1.9505852,0.2347359,4.53508,0.1458858,1.4707813,0.14563476,0.0626236,0.60678923,3.5572324,1.0614704,0.008184265
cardiac muscle cell,0.33490688,1.1202747,0.1958656,1.7517377,2.1936471,0.18429242,0.17819116,0.062865615,0.051269233,2.6099358,0.059814516,0.006327416,0.9105388,1.6595612,0.37264603,1.3032287,0.24427488,0.22560115,3.1359432,0.8055662,0.043459233,0.21583344,0.19123296,2.2436962,0.17868724,0.051504638,0.36699677,0.71538734,0.2567178,0.28169307,0.723847,1.3722937,2.1110344,0.077014774,0.06676379,0.11221791,0.06495347,1.6405767,0.10239693,0.038976025,0.75310963,1.2068104,1.9119499,0.21033163,0.7712467,1.0064769,2.599607,1.0604414,0.081837565,0.06378885,0.27551126,0.76749116,1.9949301,1.0843338,1.0768145,0.065707855,1.8729426,1.2410643,0.18076944,1.1082395,2.0433831,0.51060265,2.010719,0.30210647,0.25710082,0.7745298,0.16614375,0.07786973,1.235346,0.34100503,0.108017474,0.025738375,0.5651896,0.43506703,0.01853252,0.072441794,0.09190355,1.695554,0.092199795,0.26684487,0.18788229,2.9318566,0.6849312,0.6631966,0.11757738,0.18020785,0.4049352,0.011735425,0.13075529,2.1676185,1.1298231,1.119223,0.2066634,0.32606927,0.017136404,0.6190879,0.28988242,1.7460123,0.43884704,0.05721908,0.1573604,1.2398909,0.018718617,1.6778046,0.07406239,0.1034237,0.9641824,0.2732189,1.5124,1.5244983,0.07680498,1.2908139,0.6177278,0.52870214,0.115452036,0.02561694,1.3564017,1.1376184,0.3950498,2.4679425,1.4127438,0.04199363,0.1981917,0.05489245,0.9915825,0.21218093,0.06867778,0.3922854
cardiac neuron,2.941216,0.024664417,2.3701832,0.026530327,3.3738015,0.019543137,0.009832973,1.0903416,0.14801924,0.1725817,0.09931354,0.16165817,3.8823,0.49292347,0.32700655,3.3600228,1.2317386,0.5750233,0.027382953,0.7864527,1.8177043,0.3741876,5.9973497,0.07157675,0.04866527,0.1095035,0.1706679,0.2239006,0.592088,0.077717535,0.7417853,0.8640143,0.08899961,0.044265643,0.500641,0.7012785,0.18325588,0.014599179,0.12210802,0.018066961,0.22614884,1.6113368,0.6883835,0.01520624,0.14565404,0.025715701,0.07028736,4.1642294,0.18865205,4.3933,0.0052272156,1.4901849,2.0608056,0.106736,3.6359723,2.2941656,0.46586034,0.8395329,0.035286926,0.29858112,0.0532527,0.60506946,0.5630699,0.47643688,0.0819015,1.0875263,0.11463872,0.05715311,0.6182239,0.019108707,0.027591385,0.48596087,2.16082,3.653543,0.20545831,0.090106495,1.7643389,0.22325711,0.7561624,2.0202034,0.0036170692,0.018407932,0.16204852,0.14867139,3.9641826,0.21367562,7.5370264,0.03530722,0.30021086,0.9338499,0.008866934,0.17875904,3.7850208,2.02704,0.3776722,0.6239362,5.4773364,0.017117105,0.28805864,0.16861479,3.018286,0.034116425,0.05971319,0.019546883,0.08408205,2.1456923,0.050823566,3.2283201,3.45252,3.9607995,0.35190022,0.5761584,0.10079525,1.5257926,0.40153763,0.025715549,2.2856865,0.08900107,2.8110495,4.2753253,1.2896332,0.01997815,0.37211722,0.038705952,0.8992144,0.015220304,0.23065393,0.8701713
caudal ganglionic eminence derived GABAergic cortical interneuron,0.0025483295,0.021576403,0.023087038,4.871355,0.13055389,0.004603871,1.1921763,1.7899938,5.764767,0.019475903,0.5576567,0.9795876,0.043412056,1.6487802,0.10173917,0.024686843,0.6586911,5.215715,0.46681726,4.729703,0.12958436,0.055851314,0.18901438,1.6811239,0.17861558,0.0017144335,0.0035268432,1.2663552,3.4159844,0.10161579,0.051217873,1.0733304,0.004840097,0.0053374856,0.5943236,0.018328806,1.411933,0.015698561,0.040384088,0.057745643,0.123085655,5.202659,0.006002032,2.0749464,0.02502174,3.2362242,0.0031549907,0.46591815,0.0039449516,0.013611742,2.0616217,0.2262091,2.0213406,0.24870595,0.16656421,0.0013318629,3.002597,0.007191565,0.026827142,2.3787825,2.7163057,0.098470286,2.6223092,0.25403893,0.0010164903,2.9582148,0.06250232,0.012516105,1.761696,1.6121805,0.60891616,0.05028142,0.007821476,0.3959182,3.345169,0.0031808869,0.17863594,3.9208443,0.23375428,3.1568248,0.0025572232,0.00564063,0.1933887,3.667871,0.53067315,3.6830812,1.8943806,0.02262703,2.643063,0.053281255,0.027851555,1.7406383,0.84238,4.0909705,0.033035453,4.6620626,4.346104,2.0851767,0.053857416,0.12296204,0.039982196,0.3643654,0.75749063,0.0035300471,0.055171344,3.0678813,2.5049703,0.0120375315,0.009665087,3.0172837,1.0380727,1.4968512,0.5176116,4.463279,0.99391204,0.004418529,0.19692288,0.13798103,0.65398836,4.440016,2.0769558,0.047590345,1.6612828,0.05824518,1.670412,1.5589713,1.3367743,0.08447713
"central memory CD4-positive, alpha-beta T cell",1.2237792,0.25329384,1.3260791,0.7252657,0.28284875,0.7793791,1.4113607,1.69675,1.713093,0.31012,2.0835865,0.26216945,0.5188875,0.05244601,1.4169432,0.93555135,1.4704679,1.0673813,2.1360722,0.55840296,0.36158088,0.3162244,0.741978,0.62125254,2.9188778,1.3575536,1.5041314,0.16126353,0.4937348,1.2033595,1.590556,0.4271345,0.2766922,1.937609,0.22220099,2.0932662,0.63295937,2.3115005,0.5417487,0.19253735,2.6016371,0.07819525,0.3325034,0.20890902,0.1940123,1.940316,0.37485388,0.16050065,0.3605582,0.461605,2.7652125,0.14095311,0.41381064,0.4722839,0.49597323,0.23636484,1.8312647,0.16535765,1.3763114,0.16482928,0.40590093,0.62008643,1.2446128,0.110660434,0.5941845,1.4026461,0.025001748,0.23076604,1.6951475,0.12229265,2.26176,0.19351931,0.39586323,1.9925113,2.2065306,1.1658292,0.6436378,1.5727247,0.6601402,0.11045961,0.2004663,0.18695518,1.4557711,1.0276461,0.41885602,2.772525,0.6791038,0.21423763,1.3246162,2.3264709,0.020990737,1.1054653,2.6142523,0.62225366,0.30604678,0.14544597,3.073387,2.464677,0.9653992,1.2944119,0.3539915,0.2838209,1.6035256,1.9794973,0.082908936,0.23220679,1.7296164,2.1652553,0.44633275,0.49557206,0.76238877,0.8156953,0.3528481,0.10083815,1.4837013,0.49790478,1.9134811,2.202642,0.64750355,0.24785607,0.14809059,1.8879863,0.24214956,0.13306646,1.8089683,1.4296228,0.8107672,1.0793217
"central memory CD8-positive, alpha-beta T cell",0.04888026,0.04345173,0.7544505,3.6934226,3.8888946,3.791958,3.0715709,1.3542632,2.5258067,0.0994765,1.8949162,0.07032468,1.150946,0.54999727,3.3727732,1.276463,0.2924424,0.92092127,3.0971022,1.0902897,0.12368982,2.3242862,0.7051115,0.06299914,0.05028778,3.3107054,0.19249353,2.41342,0.6692033,0.47879484,0.8723155,0.35352302,0.08131666,2.0882347,1.1164262,2.0741696,0.86857957,0.7067091,0.35287416,0.1130014,0.84811854,0.011554675,2.0665238,1.7367064,0.09846975,3.0961957,0.34229693,1.2785547,0.85959154,0.25886294,0.03986754,0.3899347,3.7291312,0.10129899,2.0224736,0.022049878,0.013972619,2.14357,1.6592176,0.1218322,2.135976,3.0831277,0.4647961,0.09229445,0.30163008,0.06672386,0.05610681,0.24622515,2.6729887,3.191499,1.5521415,0.14735407,1.9906224,2.8040032,3.4016469,1.051173,1.3236654,1.9147943,0.13892251,0.44671187,0.14050174,0.06044128,1.3078912,0.99803615,0.030465355,3.8690565,0.016088126,0.117766105,2.6707406,3.2784395,1.8398467,0.810289,1.5275782,1.8470547,0.003374884,0.75890887,5.057959,3.8038492,3.3824477,1.373353,0.05877603,0.6908627,2.7723062,3.0722084,0.028119596,0.14622438,0.031326756,0.09842735,0.23711452,3.239864,1.2215989,0.4553184,0.11515182,0.44973248,3.6874106,0.12011136,0.1442654,3.3905687,0.48791975,0.20990345,2.971122,1.5434806,0.21885651,0.14917214,3.3918693,0.050717365,0.010693559,0.82632256
central nervous system macrophage,1.8399216,0.76250273,0.2673099,0.18412349,1.7212611,0.27297738,0.36479634,0.44684756,0.035975546,2.495398,0.45989394,0.036977723,1.7297541,0.08718196,0.29992956,1.375414,0.26405722,1.0950994,0.0796113,1.1389705,0.48307973,0.26627222,2.0803487,0.2677777,0.39052877,0.012708941,0.4961261,1.4987922,0.032963403,1.4490516,1.8291563,1.2429066,0.3650074,1.7566792,0.31028304,0.29601422,1.0018959,0.64446014,2.0153828,0.007545604,0.03924073,0.31988034,0.11244155,0.023509638,0.25988385,1.3456917,0.6069535,0.03547475,0.13472399,0.9791798,0.0014237284,3.019948,1.0359821,1.3040478,0.76846904,0.060352344,0.0049028755,1.0187744,0.013838747,0.032579724,1.409433,0.40095398,0.93972385,0.992051,0.07781771,0.097399496,0.6986364,0.016535128,0.11070276,0.24827495,0.10962381,2.529225,0.6763509,3.0881336,0.015793998,0.12562288,0.04672899,3.4803264,0.13720064,0.06782118,0.1448794,0.55521923,0.07593211,0.05020078,0.5786915,0.32574314,0.09053446,1.2787848,0.67336214,2.4943914,1.4232615,0.93627083,0.028089454,0.03422821,1.4612519,0.10678529,0.081698306,0.6386283,0.025514869,0.06799546,0.6704639,0.35983554,0.010853999,0.7369735,1.365367,1.3075423,0.028844444,0.64327466,0.01820454,1.3018795,0.1263166,4.132284,0.44411537,0.06155441,1.1560968,1.176193,0.56052446,1.2182071,0.0076043373,1.25669,2.1294274,1.1369636,0.32735616,0.0112061035,0.5142502,0.026365537,0.09399268,0.32566935
chandelier pvalb GABAergic cortical interneuron,0.48245245,0.0027104598,2.5433886,0.50558305,0.0061466694,0.44065526,0.04981249,0.8228906,1.9736012,2.6687868,0.008601568,0.0010030629,0.00089270156,0.11982007,0.63677543,0.0053960136,1.3437545,0.685093,3.44893,0.0076167826,1.1103191,0.29871178,0.7323185,2.5724201,2.6000261,0.43883634,0.0065595647,0.15761262,0.012167278,0.011596604,2.8861923,0.18874867,0.0013581055,0.01752332,0.124578856,0.12719797,0.1809597,1.640438,1.9297162,0.04189416,0.53318506,2.9732149,0.0035714996,0.3552421,0.105318464,0.035514202,0.26392424,1.6712649,0.028748453,0.06398883,2.7840822,0.3195089,0.25595516,0.043119255,0.26116443,0.016248548,0.0031589412,0.5117987,1.1357454,0.5079182,0.35248592,0.009723386,0.18282574,1.6152986,0.0078444,2.9539154,2.0630589,0.0897009,3.3005042,0.019817721,1.1443492,5.4875827,0.13676329,0.6992758,1.9574491,0.012401462,0.004363764,0.011676741,0.017965445,0.50970215,0.12117792,0.0057567717,3.29464,3.3563278,0.6975503,0.11979448,0.0068019875,0.12126664,1.935398,0.022984823,0.7230558,0.008425794,1.1023613,1.9605818,1.0733734,0.42174992,2.1026025,1.2912738,4.7487335,0.059864793,0.018210463,0.036407765,1.8160957,0.006820632,2.6071148,0.96359026,2.4336958,1.9729791,0.023241865,4.4207487,0.0908209,1.5895603,0.76551676,1.3104246,2.4307358,0.0054182694,0.019963415,0.014286983,0.11868585,2.091227,0.03288852,0.6223754,0.0260722,1.2444421,0.05297901,0.005919544,0.004212472,0.1250451
ciliated columnar cell of tracheobronchial tree,0.3026724,0.030588884,0.02595643,0.056570187,2.354926,0.058633544,0.08175678,0.09786156,0.05868162,2.4699264,0.2945243,0.60763246,0.7717732,0.06697745,1.9122903,0.47061113,0.11400475,0.24053845,0.04756035,3.3131535,0.96437323,0.013317897,1.3299849,0.5099202,2.4644608,0.40268406,1.5935398,0.33365688,0.08296203,0.62345093,0.23001648,0.07327916,1.8232512,1.6311382,0.04392348,3.0878856,3.6227984,0.16707008,0.11314931,2.1424387,0.37237716,2.2767117,0.39612925,1.0598241,1.2644277,0.24437228,2.4748304,0.03885073,0.076687105,1.5567795,0.12815756,2.2464747,0.4844076,4.290868,0.009409568,0.07989746,0.089021266,0.31908435,0.01195288,0.13082726,1.2935518,0.027166989,0.44863304,0.33139023,0.3963705,0.14442629,0.041259523,0.022593813,0.39228794,0.17140457,0.017979821,0.13107759,2.609468,0.69330245,1.4310539,1.4429826,0.41637334,1.9343058,0.31937805,0.59928036,0.10694192,1.2405097,0.17979676,0.2831596,2.5353422,0.28781092,0.024050932,2.6454513,0.08114893,0.2606611,3.1255207,2.0253654,0.15230097,0.026240302,0.5202409,0.3148017,0.1995088,2.0811079,0.44253153,0.16402315,0.11168587,2.6167126,0.05124109,0.37010533,1.3675063,0.442687,0.24241139,0.9510275,1.1588601,0.730896,1.234419,0.059336383,2.3237214,0.15977398,1.1850486,0.36863846,0.1898469,0.34523106,0.15365806,4.1585336,2.4019406,0.89344096,0.5303824,0.067572415,2.8444126,0.3222213,1.0600355,0.04587757
class switched memory B cell,0.015985597,0.24412066,0.16877177,1.9577662,0.21443194,5.999986,0.33262193,0.15882614,4.0874767,0.71685785,1.2271935,0.022223352,1.3905745,0.10737856,0.23759459,0.9558389,2.8653972,0.053050008,0.79758406,1.2802988,0.80079037,4.86031,2.9546733,0.08352804,0.011223545,0.49802142,0.072812386,2.2539957,0.17868677,0.18337068,0.032407083,0.15037061,0.048452698,4.373484,1.1999234,0.2320997,1.2906042,0.05135332,0.3130483,0.017661175,0.23622021,0.7037994,0.012574857,0.8334964,3.182729,2.4170158,0.38449818,0.4886582,3.561301,0.46612033,1.5075424,0.0012000274,1.1216002,0.07985245,1.5803182,0.6052048,0.010793963,0.087558806,1.7421125,1.5236975,0.16807368,0.12553187,0.001795308,4.0660806,2.8416297,0.41105214,0.08880295,0.038479615,0.116110004,0.20494734,2.2061267,3.2474508,0.13403732,1.1940367,0.10500132,0.08296982,3.4923925,0.01063005,0.13296597,1.6936954,1.2424772,7.564783,1.8508409,4.0319743,0.05474406,6.7727075,4.5858154,0.09021074,2.2640455,1.1817107,0.12679318,3.7334561,0.024067178,0.0225396,3.8514085,2.9270837,0.0026155799,0.0039455895,2.2517083,2.3595698,3.4316812,2.0146317,1.1125021,0.067058116,0.0038469085,0.10377178,0.27720153,0.14227353,0.08960082,3.25542,0.13686782,0.004499494,0.16770358,8.827539,0.9920115,4.3317375,3.9794784,0.011748226,0.5095194,0.42023775,0.010288182,0.32038376,1.3727812,3.2568533,2.8244941,0.12283282,0.055202648,1.0013953
classical monocyte,0.13820605,0.46189472,0.3379843,0.19281313,1.8655306,0.47283038,0.5336788,0.073610924,0.104305014,0.2521299,0.026825944,0.12335583,0.4923902,1.1925398,0.7630666,1.1564933,1.9440154,2.216625,0.79155403,1.8881706,1.3273498,1.174335,0.03821794,1.1441717,0.26484862,1.4407436,1.1449835,0.30275452,0.65157866,0.6634007,0.76965755,0.0667704,0.07420489,0.98071927,1.0185157,0.11618829,0.87409353,0.29883066,0.07746364,2.6308033,0.3308682,0.7820262,0.9606419,0.41843012,1.0578783,0.13260204,0.21934755,0.15700063,0.47627112,1.5919362,0.7714485,2.385451,0.08488193,1.2721592,1.1971824,0.75698394,0.76764345,0.69362277,0.3882371,0.907325,0.50213915,0.31360132,0.80191827,0.12397386,0.7264533,0.19906019,1.8036845,0.1330719,0.02601925,1.1449846,1.1753366,0.52486724,0.06616494,1.0701815,0.24818227,0.46638173,0.5564998,0.26064575,0.08032762,0.4233384,0.88798416,1.8558464,0.9728818,0.06454089,0.091547735,0.9112288,0.10549083,0.20537639,0.25925812,0.9256569,0.13727264,1.3958853,0.782893,1.6640258,0.48406297,0.5848983,1.4877201,0.5477069,0.25899735,0.57458824,0.6054695,0.9511392,1.5797535,0.76495653,1.3309598,0.04755203,1.2971305,0.198641,1.1809014,0.12721018,1.2814064,0.09570388,2.1293046,1.3464075,0.5077822,0.22632296,0.31842428,1.6584994,0.52541006,0.30160296,0.70340896,1.4413687,0.13185596,0.13301376,2.2278404,1.0844829,2.1398857,0.4933529
club cell,1.9685922,0.3254254,0.64082956,0.31115046,1.3703672,1.6840662,1.9666624,1.9755652,0.075311005,0.89286196,0.32336402,0.025673777,0.31938902,1.1317499,1.6133292,3.383655,0.13895513,1.8742485,0.0957318,0.41842765,2.2309728,0.028111733,2.4239972,0.06857688,0.059551097,0.28331423,1.6096724,1.1474489,0.12014013,2.0009813,0.08879095,1.3858268,0.13486268,2.7693706,2.154493,0.03513051,0.04745001,0.8071127,1.5092155,0.09453767,0.84873664,0.11691355,1.9211721,0.09550706,0.67852795,0.013048138,0.5729087,0.13734837,2.2583559,0.70196426,0.18306707,1.6820929,0.018589292,5.2758164,0.9862685,2.3253882,0.15726908,3.1022043,2.6213791,1.5351654,0.50543475,0.017377283,0.15794313,0.94291025,2.8565578,0.1215988,3.395298,0.13803552,4.007111,0.29546008,1.1447719,1.5229003,0.45558164,3.8009098,1.2757478,0.098921604,0.94480366,0.09925608,0.021513145,0.13395892,0.34494448,0.73661137,0.45341104,0.76704806,0.739322,0.13195318,0.56009847,3.0598536,2.6112912,0.22063763,0.034805223,0.015947077,0.022953948,1.9586949,3.0633109,0.02246229,0.52715015,0.3942217,0.52606905,4.4682384,0.58404434,0.038299657,0.109777234,1.5987266,1.2843474,1.4593811,0.26875558,1.1674092,2.2569828,0.04777381,1.5977958,1.861148,3.3539,0.59828204,2.1094317,3.5254946,0.0961275,0.3535898,0.023108073,2.7148957,0.039789654,2.7769282,0.90053254,2.7664454,2.8138106,1.7004342,0.07124793,0.02106202
conventional dendritic cell,0.43274215,3.4427793,0.15455714,0.15094173,0.014529945,0.7440565,0.38407043,0.56699914,0.53092283,2.4724452,0.8833651,0.3589888,0.7776268,0.060554855,0.038908157,2.9715884,0.02463447,5.238607,0.6279995,0.53673804,0.24930692,1.5561494,0.020416077,0.47203052,0.78118235,1.9670792,0.20139392,0.09171996,0.12271217,0.6801357,0.7580264,1.4148386,1.1202972,1.1037993,2.713547,0.34000325,2.775183,0.10158234,0.037698958,1.1216878,1.4276291,0.025439948,0.508485,1.0074849,1.9024804,0.012600332,0.47698614,0.35405582,0.035086863,0.032035097,0.25560865,0.7411628,0.6319606,2.1488762,2.9291825,0.03697343,0.040602956,1.0991181,0.09147438,0.8833502,3.1422136,3.0895102,3.1370087,0.38612962,0.09525277,0.82064664,1.2884091,0.8718768,0.07492694,0.26821986,2.2461329,2.4530597,0.053887405,0.03561322,1.5743433,1.3280326,2.5829432,2.8744152,0.84718466,1.662194,2.4653287,2.2131834,0.61711556,0.085033394,1.1355169,0.51848114,0.15733096,0.32910493,0.49671078,0.3576445,0.15898643,0.08021634,1.4217745,1.0167501,0.42067534,1.2621635,0.14688921,1.7434187,0.037990235,0.2282312,0.514411,0.63340026,2.6990464,1.0360414,1.0203825,0.6346859,3.7131197,2.8666773,0.68635213,0.5049785,0.9304922,0.20982173,0.123788066,1.2727245,0.020888016,2.7656584,0.41995838,2.2926073,0.08466092,0.45169556,0.6137076,1.881629,0.6321036,0.15373859,2.4918334,3.3337188,0.6934463,2.3073127
corticothalamic-projecting glutamatergic cortical neuron,0.012726333,5.2043395,1.7293319,2.1335251,0.5755037,4.054827,2.8857436,1.3950822,0.16138998,1.7787668,1.1630623,0.0038764155,0.01981238,0.6171524,0.018317195,0.028123844,0.09714166,4.336786,0.029157544,0.18331178,0.08125166,4.520631,0.078102015,0.015081367,0.1552712,2.6505947,0.0010414028,1.5199952,0.0870477,2.9085379,0.87482786,0.055694267,0.0014476399,0.3835082,2.2376547,0.18776688,0.7462224,1.4176162,0.006370387,0.07723503,0.4293798,0.06826552,0.0014287825,1.8469374,0.06757328,0.4921633,0.0018049626,0.0022457927,0.005212953,0.18866782,0.034520887,2.1418009,2.0630112,1.105389,0.7752216,0.10067898,0.0007046639,0.002892673,0.0027303637,0.24354981,1.3820205,0.14535265,0.02705734,0.03612361,0.000534519,2.2450929,0.4421664,0.5171936,0.7164818,0.20383334,1.6466519,1.8122576,0.17308328,1.3111806,0.8104083,0.07513545,1.7969129,0.5985131,0.002716331,1.5104232,0.078751415,1.0143213,3.2493994,2.2106953,0.0738159,0.520734,2.053962,0.01172357,0.022502825,4.114113,0.21920556,1.9136189,0.10002683,0.14960742,0.049107384,0.780624,0.12492546,1.1948924,1.1294719,2.6551135,2.223344,0.004621959,1.0630333,0.0011900922,0.20516224,2.2276769,0.009134213,1.3288788,0.05378146,4.7464905,0.014650502,1.800467,0.8010371,3.3566835,2.1720488,0.8627485,2.5225227,2.9830735,0.11797571,2.786605,2.3491285,2.691861,0.0016065197,0.86880857,2.2166913,0.041960835,0.040394645,3.152274
dendritic cell,2.7184293,0.15223874,1.2087606,2.8951867,1.5673451,0.05866561,0.7890279,0.048938137,0.18229955,3.2492573,0.9147207,0.20481071,0.2651913,0.115541875,1.384692,3.386448,0.40314037,4.8394475,0.610885,0.75390255,2.6219568,2.046066,0.030083984,1.6200963,0.7286364,0.2599829,2.8061342,0.05834564,1.6946223,2.0338528,1.7591206,1.5987248,1.1886721,0.033941004,0.12489663,0.82170486,0.35466725,0.088659674,1.0201831,0.027400052,0.068431266,2.179421,0.7707982,1.8754296,1.4028181,0.04629443,1.1357116,1.3288472,0.69181097,0.07126269,0.092887156,2.0616317,2.801193,3.5310967,1.7717427,0.038507827,2.265321,1.199202,0.042324044,0.31793782,0.7349103,0.5164994,2.5768385,0.23276779,0.5622679,0.113569826,0.32811728,0.9828618,0.064766504,0.51702285,1.7642449,3.4891987,1.5824163,0.21235535,1.1429942,0.07173577,0.30097404,1.1981679,1.1273746,0.96191984,0.38561583,3.6497784,0.21259446,0.0073083118,0.10009601,2.11024,0.7571206,0.48515368,1.8712269,0.08637761,1.4376615,1.7505585,0.67018986,0.84880424,0.19588955,2.2215133,0.09629665,0.4793967,0.0629779,0.36608315,1.6835485,0.76942307,2.7723725,0.6948883,1.6572028,0.04893386,1.3923931,1.3369144,1.5593709,0.2604963,3.1102498,1.7767355,1.6663084,1.6540998,0.16356005,1.4548918,2.790344,0.25631595,0.43484655,0.5295579,0.5236521,3.176212,0.8402972,1.4293667,0.6181957,0.08293389,0.8847003,0.061782468
double negative T regulatory cell,1.7520409,0.0016493226,3.038335,2.900168,3.8500795,0.001445843,0.26054487,4.5470376,0.07191908,1.0672786,0.007876857,0.014700245,2.020806,0.002614859,3.9648993,4.4792886,0.10102093,0.033275373,0.9060313,2.5785677,1.5536312,0.74073344,3.3780885,2.5936332,0.0034719785,0.0079438565,1.1474952,0.09435551,0.008833326,2.5855234,2.6592968,3.531659,4.437309,0.015603743,0.38101527,1.7710189,0.005612311,1.1264256,3.308837,0.28873745,0.01592266,4.610752,1.6909243,0.012426985,0.056569096,0.08466647,4.674894,1.7012092,0.23833255,0.11569398,0.365313,1.7534713,0.029826129,0.8361015,1.3188823,0.0028765984,0.35513073,0.055356074,4.3729806,3.1982896,0.37147704,0.042908236,1.975512,3.5229256,0.15858929,4.9466853,0.80213416,0.060811404,2.0215778,1.9676064,0.052583776,4.3084564,0.011666943,0.97658575,0.21084575,0.0139148105,0.0042290967,0.638775,0.0070832167,0.09221444,0.05007403,0.07002932,1.02667,0.7135554,1.2274501,6.284014,0.006371281,0.04728636,2.3934853,0.0032063518,0.031543024,0.06436948,0.046767823,0.6538368,0.1922445,0.022312995,3.1328652,0.6800925,4.0258136,0.014798207,1.2866846,0.08787465,2.299229,7.3608956,0.013983992,3.8618402,0.082614616,0.11569751,0.028848263,2.176569,0.007509828,0.01716764,3.4214725,0.0435302,5.3485055,1.86813,0.007155577,0.083180994,0.007420755,1.4742235,0.008479552,0.4900325,0.12390387,1.2689393,0.16443,0.2182021,1.6401304,0.17414728
double negative thymocyte,3.2377725,0.14643136,0.586459,0.03878022,1.2605629,0.12382987,1.2190907,2.4764354,0.08706922,2.67707,0.02104079,0.04676985,2.8133717,0.018935634,0.2656774,3.1312625,0.029718952,2.2196364,0.39548418,2.588863,0.031261176,0.011344554,1.3502342,1.0639122,0.27700195,0.042312372,0.038042918,2.9580834,0.026978957,3.483544,0.69834876,1.3113946,1.3419185,0.2326991,0.16225474,0.27685162,0.46789232,0.08270416,0.08713569,0.3884047,0.008829158,0.039618175,2.4973607,0.27687508,0.047952335,0.5136416,1.5139835,1.9088465,0.039856438,3.4678216,0.0126172695,3.0125873,0.055561557,2.0934775,0.092233494,0.43408903,0.23358862,0.56750566,1.528215,0.42299142,0.1334767,1.1031595,0.8317436,0.22976464,0.0051944717,0.32112515,2.3109195,3.0577881,2.7991312,2.375605,0.07734971,0.03783542,1.7208306,0.021125335,0.06896458,1.1622812,0.49696028,1.056836,4.357408,0.32908785,0.2070368,0.03527504,1.4236702,0.07714495,0.12784113,4.1707287,0.007847422,0.09869834,0.06472032,2.517782,1.2212898,0.02472479,0.044927903,1.2409035,0.0832249,0.07265686,0.8718749,1.6665626,0.40281212,0.027021635,1.2476081,0.1912856,3.1422412,3.891784,0.051965144,0.16827697,0.096885,3.3241775,0.71663177,2.0394285,0.60463166,0.043440413,0.34063688,1.7471173,3.0164456,3.4542215,2.1777642,4.1033688,0.50666666,2.248701,2.288216,0.9146414,0.08568584,0.25042778,0.09935834,4.47005,3.1705077,3.472548
